code;sup;nom_arb;heig;diam
15A;1,5;Avocatier;6;24,4948974278
15A;1,5;Kotokié;8;28,2842712475
15A;1,5;Ficus inc;5;22,360679775
15A;1,5;Emian;30;54,7722557505
15A;1,5;Poïé;1;10
15A;1,5;Poïé;3;17,3205080757
15A;1,5;Fromager;3;17,3205080757
15A;1,5;Aloma;3;17,3205080757
15A;1,5;Kpamba;2;14,1421356237
15A;1,5;Kpamba;2;14,1421356237
15A;1,5;Kpamba;3;17,3205080757
15A;1,5;Iroko;3;17,3205080757
15A;1,5;Ilomba;4;20
15A;1,5;Kotokié;3;17,3205080757
15A;1,5;Puka;10;31,6227766017
15A;1,5;Ficus inc;3;17,3205080757
15A;1,5;Emian;9;30
15A;1,5;Colatier;20;44,72135955
15A;1,5;Oranger;5;22,360679775
15A;1,5;Pilon;6;24,4948974278
15A;1,5;Koya;5;22,360679775
15A;1,5;Iroko;5;22,360679775
15A;1,5;Kpamba;3;17,3205080757
15B;2,0618;Akpi;6;24,4948974278
15B;2,0618;Akpi;12;34,6410161514
15B;2,0618;Tiendé;15;38,7298334621
15B;2,0618;Cocotier;6;24,4948974278
15B;2,0618;Cocotier;2;14,1421356237
15B;2,0618;Tonzué;7;26,4575131106
15B;2,0618;Avocatier;10;31,6227766017
15B;2,0618;Cocotier;7;26,4575131106
15B;2,0618;Cocotier;5;22,360679775
15B;2,0618;Manguier;15;38,7298334621
15B;2,0618;Cocotier;6;24,4948974278
15B;2,0618;Goyavier;4;20
15B;2,0618;Iroko;6;24,4948974278
15B;2,0618;Iroko;20;44,72135955
15B;2,0618;Tonzué;20;44,72135955
15B;2,0618;Iroko;7;26,4575131106
15B;2,0618;Yenglé;10;31,6227766017
15B;2,0618;Iroko;25;50
15B;2,0618;Fromager;30;54,7722557505
15B;2,0618;Fromager;30;54,7722557505
15B;2,0618;Fromager;30;54,7722557505
15B;2,0618;Manguier;15;38,7298334621
15B;2,0618;Fromager;5;22,360679775
15B;2,0618;Yenglé;4;20
15B;2,0618;Yenglé;10;31,6227766017
15B;2,0618;Kotokié;20;44,72135955
15B;2,0618;Koya;15;38,7298334621
15B;2,0618;Manguier;15;38,7298334621
15B;2,0618;Palmier;6;24,4948974278
15B;2,0618;Palmier;6;24,4948974278
15B;2,0618;Iroko;20;44,72135955
15B;2,0618;Cocotier;5;22,360679775
15B;2,0618;Cocotier;6;24,4948974278
15B;2,0618;Fraké;4;20
15B;2,0618;Manguier;6;24,4948974278
15B;2,0618;Samba;10;31,6227766017
15B;2,0618;Cocotier;15;38,7298334621
15B;2,0618;Manguier;10;31,6227766017
15B;2,0618;Gliricidia;3;17,3205080757
15B;2,0618;Gliricidia;3;17,3205080757
15C;2,347;Dabema;20;44,72135955
15C;2,347;Kaklou;30;54,7722557505
15C;2,347;Kaklou;40;63,2455532034
15C;2,347;Kaklou;30;54,7722557505
15C;2,347;Django;25;50
15C;2,347;Abieserele;30;54,7722557505
15C;2,347;Kaklou;40;63,2455532034
15C;2,347;Fraké;30;54,7722557505
15C;2,347;Manguier;25;50
15C;2,347;Manguier;20;44,72135955
15C;2,347;Manguier;20;44,72135955
15C;2,347;Manguier;25;50
15C;2,347;Rovia;20;44,72135955
15C;2,347;Manguier;10;31,6227766017
15C;2,347;Manguier;15;38,7298334621
15C;2,347;Koya;12;34,6410161514
15C;2,347;Cocotier;5;22,360679775
15C;2,347;Pamplemoussier;5;22,360679775
15C;2,347;Pamplemoussier;4;20
15C;2,347;Rovia;15;38,7298334621
15C;2,347;Parasollier;10;31,6227766017
15C;2,347;Pamplemoussier;5;22,360679775
15C;2,347;Samba;6;24,4948974278
15C;2,347;Kotokié;12;34,6410161514
15C;2,347;Kotokié;12;34,6410161514
15C;2,347;Abieserele;35;59,160797831
15C;2,347;Abieserele;35;59,160797831
15C;2,347;Fromager;50;70,7106781187
15C;2,347;Ilomba;33;57,4456264654
15C;2,347;Ilomba;27;51,9615242271
15C;2,347;Fraké;32;56,5685424949
15C;2,347;Poïé;17;41,2310562562
15C;2,347;Tonzué;12;34,6410161514
15C;2,347;Aloma;10;31,6227766017
15C;2,347;Avocatier;8;28,2842712475
15C;2,347;Manguier;7;26,4575131106
15C;2,347;Manguier;8;28,2842712475
15C;2,347;Manguier;7;26,4575131106
15C;2,347;Cocotier;11;33,1662479036
15C;2,347;Kotokié;13;36,0555127546
3A;2,918;Fromager;40;63,2455532034
3A;2,918;Colatier;9;30
3A;2,918;Colatier;9;30
3A;2,918;Avocatier;9;30
3A;2,918;Colatier;9;30
3A;2,918;3A1;25;50
3A;2,918;Avocatier;10;31,6227766017
3A;2,918;Avocatier;10;31,6227766017
3A;2,918;Fromager;40;63,2455532034
3A;2,918;Fromager;30;54,7722557505
3A;2,918;Poïé;20;44,72135955
3A;2,918;Avocatier;10;31,6227766017
3A;2,918;Koya;20;44,72135955
3A;2,918;Avocatier;8;28,2842712475
3A;2,918;Avocatier;9;30
3A;2,918;Fraké;28;52,9150262213
3A;2,918;Avocatier;8;28,2842712475
3A;2,918;Abieserele;6;24,4948974278
3A;2,918;Avocatier;7;26,4575131106
3A;2,918;Avocatier;5;22,360679775
3A;2,918;Colatier;5;22,360679775
3A;2,918;Avocatier;9;30
3A;2,918;Fromager;26;50,9901951359
3A;2,918;Avocatier;8;28,2842712475
3A;2,918;Avocatier;9;30
3A;2,918;Koya;4;20
3A;2,918;Koya;4;20
3A;2,918;Avocatier;8;28,2842712475
3A;2,918;Koya;4;20
3A;2,918;Fromager;35;59,160797831
3A;2,918;Colatier;8;28,2842712475
3A;2,918;Colatier;8;28,2842712475
3A;2,918;Avocatier;7;26,4575131106
3A;2,918;Piège;1;10
3A;2,918;Avocatier;7;26,4575131106
3A;2,918;Poïé;20;44,72135955
3A;2,918;Colatier;7;26,4575131106
3A;2,918;Manguier;12;34,6410161514
3A;2,918;Koya;18;42,4264068712
3A;2,918;Oranger;7;26,4575131106
3A;2,918;Manguier;6;24,4948974278
3A;2,918;Avocatier;6;24,4948974278
3A;2,918;Koya;14;37,4165738677
3A;2,918;Koya;15;38,7298334621
