Famille;Genre;Espèce;nom_arb
Samydaceae;Homalium;letestui;3B4
Lecythidaceae;Petersianthus;macrocarpus;Abalé
Bignogiaceae;Spathodea;campanulata;Abieserele
Asteraceae;Vernonia;colorata;Abowi
Fabaceae;Acacia;mangium;Acaciamangium
Euphorbiaceae;Ricinodendron;heudelotii;Akpi
Moraceae;Ficus;capensis;Aloma
Moraceae;Artocarpus;altilis;Arachideblanc
Lauraceae;Persea;americana;Avocatier
Cocoaceae;Cocos;nucifera;Cocotier
Sterculiaceae;Cola;nitida;Colatier
Annonaceae;Annona;muricata;Corosollier
Mimosaceae;Piptadeniastrum;africanum;Dabema
Euphorbiaceae;Alchornea;cordifolia;Djeka
Apocynaceae;Alstonia;boonei;Emian
Combrétaceae;Terminalia;superba;Fraké
Bombaceae;Ceiba;pentandra;Fromager
Apocynaceae;Rauwolfia;vomitora;Gbakapeimpé
Fabaceae;Gliricidia;sepium;Gliricidia
Mimosaceae;Albizzia;andanthifolia;Golikpamba
Myrtaceae;Psidium;guajava;Goyavier
Myristicaceae;Pycnanthus;angolense;Ilomba
Moraceae;Milicia;excelsa;Iroko
Moraceae;Morus;mesozygia;Iroko blanc
Sterculiaceae;Sterculia;tragacantha;Kotokié
Rubiaceae;Morinda;lucida;Koya
Mimosaceae;Albizzia;zygia;Kpamba
Anacardiaceae;Mangifera;indica;Manguier
Anacardiaceae;Spondias;monbin;Mirabellier
Agavaceae;Dracanea;arborea;Niamenbaka
Rutaceae;Citrus;sinensis;Oranger
Moraceae;Musanga;cecropioides;Parasollier
Fabaceae;Afrormosia;laxiflora;Pilon
Myrtaceae;Syzygium;malaccense;Pomme
Sterculiaceae;Triplochiton;scleroxylon;Samba
Ulmaceae;Trema;orientalis;Siansian
Mimosaceae;Tetrapleura;tetraptera;Tetrapleura
Moraceae;Myrianthus;arboreus;Tigleti
Loganiaceae;Anthocleista;nobilis;Wowoliwo
Moraceae;Ficus;exasperata;Yenglé
Moraceae;Ficus;;Ficus inc
Apocynaceae;Funtumia;elastica;Poïé
Bombaceae;Bombax;buonopozense;Puka
Rutaceae;Fagara;macrophylla;Tiendé
Bignogiaceae;Newbouldia;laevis;Tonzué
Arecaceae;Elaeis;guineensis;Palmier
Rutaceae;Irvingia;gabonensis;Kaklou
Moraceae;Ficus;goliath;Django
Fabaceae;Detarium;microcarpum;Rovia
Rutaceae;Citrus;maxima;Pamplemoussier
Pandaceae;Panda;oleosa;3A1
Tiliaceae;Glyphaea;brevis;Piège
Mimosaceae;Calpocalyx;brevibracteatus;Pétéplé
Moraceae;Ficus;mucoso;Djombolo
Anacardiaceae;Lannea;welwitchii;Loloti
;;;Faltige
Caricaceae;Carica;papaya;Papayer
;;;3C1
Euphorbiaceae;Hevea;brasiliensis;Hévéa
;;;Ajoua
;;;Kouti
Bombaceae;Andansonia;digitata;Baobab
Moraceae;Antiaris;africana;Ako
;Milettia;;Commegliricidia
;;;Tige Iri
;;;Chargement
Combretaceae;Terminalia;ivorensis;Framiré
;;;Koulé
;;;Kiékié
;;;Eoundé
Caesalpinaceae;Amphimas;pterocarpoides;Lati
Mimosaceae;Parkia;bicolor;Ronaga
;;;3H7
Mimosaceae;Parkia;biglobosa;Néré
Rubiaceae;Tricalysia;macrophylla;Café sauvage
Burseraceae;Dacryodes;klaineana;12P1
Sapindaceae;Blighia;sapida;Funsa
Rutaceae;Citrus;tachibana;Mandarinier
Ulmaceae;Celtis;zenkeri;Essan
Olaceae;Strombosia;pustulata;Féan
Euphorbiaceae;Margaritaria;discoidea;Gbegpessia
Bignogiaceae;Kigelia;africana;Blimo
;;;Tomeda
Anacardiaceae;Antrocaryon;micraster;Akaleleberka
Sapindaceae;Blighia;unijugata;Funsa petit
;;;NapdibAko
Mimosaceae;Aubrevillea;platycarpa;Kélékélé
Sterculiaceae;Heritiera;utilis;3J1
Anacardiaceae;Anacardium;occidentale;Anacardier
;;;Manioc sauvage
;;;Kayablé
Mimosaceae;Albizzia;lebbek;Acacia
Mimosaceae;Albizzia;ferruginea;Yatanza
Moraceae;Treculia;africana;Treculia
Caesalpinaceae;Dialium;dinklagei;Chanoua
Caesalpinaceae;Tamarindus;indica;Tamarinier
Guttiferaea;Allanblickia;floribunda;Gbouteï
;Samanea;dinklagei;Gnaloti
;Fagara;parvifoliola;7C2
;Guarea;cedrata;Pessou
;;;7C4
Mimosaceae;Albizia;coriaria;Gnopoïpepe
Humiriaceae;Sacoglottis;gabonensis;Gohênégbléhi
;;;Gohênéglé
Annonaceae;Xylopia;aethiopica;Cindian
Fabaceae;Erytrina;vogelii;Zaba
;;;Biblissou
;;;Choukoï
Rutaceae;Citrus;limon;Citronnier
Euphorbiaceae;Mareya;micrantha;7M2
Tiliaceae;Nesogordonia;papavifera;Kotibé
Euphorbiaceae;Bridelia;grandis;7L2
Boraginaceae;Cordia;platythyrsa;7M1
Verbenaceae;Vitex;rivularis;Vitex2
Lauraceae;Belchmiedia;mannii;7N2
Bignogiaceae;Crescentia;cujete;Calebasse
Caesalpinaceae;Piliostigma;reticulatum;Bagandi
Euphorbiaceae;Discoglypremna;caloneura;Nzoué Nouna
Annonaceae;Cleistopholis;patens;8A1
Ulmaceae;Celtis;adolfi;Lonfé
;Yucca;;Bognano
Sterculiaceae;Cola;gigantea;Walé
Sterculiaceae;Pterygota;macrocarpa;Koto
Sterculiaceae;Mansonia;altissima;Bois Bété
Ochnaceae;Lophira;alata;Azobé
Meliaceae;Entandrophragma;angolense;Tiama
Caesalpinaceae;Afzellia;bella;Afzelia bella
Ebenaceae;Diospyros;heudelotii;Faklaé
Ulmaceae;Celtis;mildbraedii;Djerossou
Mimosaceae;Newtonia;aubrevillei;Newtonia
Sapotaceae;Aningueria;robusta;Anigré
Moraceae;Myrianthus;libericus;Tigleti2
Rubiaceae;Cuviera;macroura;Doubédoubé
;;;Djoéssou
Apocynaceae;Holarrhena;africana;Hévéasauvage2
Fabaceae;Baphia;nitida;Olinéré
Verbenaceae;Vitex;grandifolia;Vitex
Verbenaceae;Tectona;grandis;Teck
;Jatropha;;Jatropha
;;;Gpon
Caesalpinaceae;Guibourtia;ehie;12A1
Rutaceae;Teclea;heterophylla;12a4
Sapotaceae;Omphalocarpum;pachysteloides;12A2
Caesalpinaceae;Stermonocoleus;micranthus;12A3
Meliaceae;Khaya;anthotheca;12B1
Meliaceae;Trichilia;martineaui;Fé
Guttiferaea;Garcinia;cola;Petit cola
Achariaceae;Scottellia;klaineana;Gbakafoufoué Adiobré
Meliaceae;Khaya;grandifolia;12B5
Sterculiaceae;Cola;millenii;82U1
Meliaceae;Daniellia;ogea;12F1
Guttiferaea;Stymphonia;globulifera;Beu
Guttiferaea;Harungana;madagascariensis;12g1
;;;12h1
;;;12H3
;;;12H4
Caesalpinaceae;Afzelia;africana;Kpakpa
Sterculiaceae;Eribroma;oblonga;12i4
Meliaceae;Trichilia;monadelpha;12l3
;;;12K1
Papilionaceae;Milettia;zechiana;Koué
Moringaceae;Moringa;oleifera;Moringa
Mimosaceae;Xylia;evansii;12M2
Meliaceae;Entandrophragma;utile;Sipo
;;;Diara Iri
;;;Gpê
;;;12Q3
;;;12h1
